Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
AsnetAm,PBR,7,3,16,3-16,True,0.002510167408485334,194,-1,N/A,,False
AsnetAm,PBR,8,5,49,5-49,True,0.0089770059607544,343,-1,N/A,,False
AsnetAm,EFFRES,1,33,63,33-63,True,0.07435942757092312,1557,-1,N/A,,False
AsnetAm,EFFRES,2,38,40,38-40,True,-0.002762152273271973,1668,-1,N/A,,False
AsnetAm,EFFRES,3,45,50,45-50,True,0.03380797054462788,1831,-1,N/A,,False
AsnetAm,EFFRES,4,4,63,4-63,True,0.028760682197910566,299,-1,N/A,,False
AsnetAm,EFFRES,5,22,53,22-53,True,0.03153791403191675,1163,-1,N/A,,False
AsnetAm,EFFRES,6,40,55,40-55,True,0.08645710708175618,1732,-1,N/A,,False
AsnetAm,EFFRES,7,3,16,3-16,True,0.011676119018471882,194,-1,N/A,,False
AsnetAm,EFFRES,8,5,49,5-49,True,0.023524956321084985,343,-1,N/A,,False
AsnetAm,IVI,1,8,22,8-22,True,-5.0,478,-1,N/A,,False
AsnetAm,IVI,2,38,40,38-40,True,5.0,1668,-1,N/A,,False
AsnetAm,IVI,3,45,50,45-50,True,0.0,1831,-1,N/A,,False
AsnetAm,IVI,4,4,63,4-63,True,5.0,299,-1,N/A,,False
AsnetAm,IVI,5,22,55,22-55,True,5.0,1164,-1,N/A,,False
AsnetAm,IVI,6,40,55,40-55,True,0.0,1732,-1,N/A,,False
AsnetAm,IVI,7,3,16,3-16,True,5.0,194,-1,N/A,,False
AsnetAm,IVI,8,5,49,5-49,True,0.0,343,-1,N/A,,False
AsnetAm,NNSI,1,59,61,59-61,True,0.0,1989,-1,N/A,,False
AsnetAm,NNSI,2,38,39,38-39,True,0.0,1667,-1,N/A,,False
AsnetAm,NNSI,3,45,49,45-49,True,0.0,1830,-1,N/A,,False
AsnetAm,NNSI,4,4,63,4-63,True,0.0,299,-1,N/A,,False
AsnetAm,NNSI,5,22,53,22-53,True,0.0,1163,-1,N/A,,False
AsnetAm,NNSI,6,40,54,40-54,True,0.0,1731,-1,N/A,,False
AsnetAm,NNSI,7,3,16,3-16,True,0.0,194,-1,N/A,,False
AsnetAm,NNSI,8,5,49,5-49,True,0.0,343,-1,N/A,,False
Renater2010,PBR,1,4,35,4-35,True,-0.009140557621080491,179,-1,N/A,,False
Renater2010,PBR,2,21,28,21-28,True,-0.0011591487907893286,644,-1,N/A,,False
Renater2010,PBR,3,32,42,32-42,True,-0.037961856361204985,807,-1,N/A,,False
Renater2010,PBR,4,8,18,8-18,True,0.0016622687644807016,300,-1,N/A,,False
Renater2010,PBR,5,3,30,3-30,True,-0.004053516511399793,138,-1,N/A,,False
Renater2010,PBR,6,24,38,24-38,True,-0.0001934264590023188,708,-1,N/A,,False
Renater2010,EFFRES,1,19,40,19-40,True,0.0695255987582751,617,-1,N/A,,False
Renater2010,EFFRES,2,21,28,21-28,True,0.03873474240615219,644,-1,N/A,,False
Renater2010,EFFRES,3,32,42,32-42,True,0.0602321093205714,807,-1,N/A,,False
Renater2010,EFFRES,4,8,17,8-17,True,0.10859475512028076,299,-1,N/A,,False
Renater2010,EFFRES,5,3,30,3-30,True,0.021298436726866488,138,-1,N/A,,False
Renater2010,EFFRES,6,24,38,24-38,True,0.017301765205997546,708,-1,N/A,,False
Renater2010,IVI,1,1,5,1-5,True,0.0,40,-1,N/A,,False
Renater2010,IVI,2,21,28,21-28,True,5.0,644,-1,N/A,,False
Renater2010,IVI,3,32,42,32-42,True,5.0,807,-1,N/A,,False
Renater2010,IVI,4,8,18,8-18,True,0.0,300,-1,N/A,,False
Renater2010,IVI,5,3,31,3-31,True,5.0,139,-1,N/A,,False
Renater2010,IVI,6,24,38,24-38,True,0.0,708,-1,N/A,,False
Renater2010,NNSI,1,22,37,22-37,True,0.0,672,-1,N/A,,False
Renater2010,NNSI,2,21,27,21-27,True,0.06148113646949227,643,-1,N/A,,False
Renater2010,NNSI,3,32,42,32-42,True,-0.06148113646949227,807,-1,N/A,,False
Renater2010,NNSI,4,8,17,8-17,True,0.0,299,-1,N/A,,False
Renater2010,NNSI,5,3,30,3-30,True,0.0,138,-1,N/A,,False
Renater2010,NNSI,6,24,38,24-38,True,0.0,708,-1,N/A,,False
Tinet,PBR,1,1,38,1-38,True,-0.010540980580206239,85,-1,N/A,,False
Tinet,PBR,2,6,31,6-31,True,-0.00943459265910617,300,-1,N/A,,False
Tinet,PBR,3,35,47,35-47,True,-0.011203272577006249,1164,-1,N/A,,False
Tinet,PBR,4,4,10,4-10,True,-0.013325330789357338,195,-1,N/A,,False
Tinet,PBR,5,7,30,7-30,True,-0.006544168522741768,344,-1,N/A,,False
Tinet,PBR,6,9,42,9-42,True,-0.009371414678121134,438,-1,N/A,,False
Tinet,PBR,7,26,33,26-33,True,-0.0012628496482352536,977,-1,N/A,,False
Tinet,PBR,8,40,51,40-51,True,-0.0005791667099489303,1233,-1,N/A,,False
Tinet,EFFRES,1,41,47,41-47,True,0.12120500279023609,1239,-1,N/A,,False
Tinet,EFFRES,2,6,30,6-30,True,0.0269237164486346,299,-1,N/A,,False
